in s,C1 in V,C2 in V,C3 in V,C4 in V
-4.4997952E-02,-2.47266E-02,1.35820E+00,1.10840E-01,1.06488E+00
-4.4997264E-02,-5.19531E-03,3.81641E-01,1.11816E-01,1.03559E+00
-4.4996576E-02,4.57031E-03,8.86719E-02,1.10840E-01,1.03559E+00
-4.4995888E-02,-5.19531E-03,-7.90234E-01,1.09863E-01,1.03559E+00
-4.4995200E-02,2.41016E-02,-1.18086E+00,1.11816E-01,1.01605E+00
-4.4994512E-02,2.41016E-02,-1.27852E+00,1.13770E-01,1.02582E+00
-4.4993824E-02,2.41016E-02,-1.18086E+00,1.07910E-01,1.03559E+00
-4.4993136E-02,6.31641E-02,-3.01953E-01,1.08887E-01,1.02582E+00
-4.4992448E-02,4.36328E-02,3.81641E-01,1.06934E-01,1.06488E+00
-4.4991760E-02,3.38672E-02,1.06523E+00,1.07910E-01,1.02582E+00
-4.4991072E-02,5.33984E-02,1.65117E+00,1.07910E-01,1.09418E+00
-4.4990384E-02,4.36328E-02,1.94414E+00,1.07910E-01,1.04535E+00
-4.4989696E-02,2.41016E-02,1.84648E+00,1.06934E-01,1.03559E+00
-4.4989008E-02,1.43359E-02,1.55352E+00,1.08887E-01,1.01605E+00
-4.4988320E-02,-1.49609E-02,1.06523E+00,1.05957E-01,1.03559E+00
-4.4987632E-02,1.43359E-02,1.86328E-01,1.01074E-01,1.02582E+00
-4.4986944E-02,1.43359E-02,-3.99609E-01,9.71680E-02,1.01605E+00
-4.4986256E-02,2.41016E-02,-4.97266E-01,9.61914E-02,1.02582E+00
-4.4985568E-02,2.41016E-02,-5.94922E-01,8.83789E-02,1.04535E+00
-4.4984880E-02,-5.19531E-03,-4.97266E-01,8.25195E-02,1.03559E+00
-4.4984192E-02,2.41016E-02,-8.98437E-03,7.17773E-02,1.06488E+00
-4.4983504E-02,2.41016E-02,7.72266E-01,6.29883E-02,1.04535E+00
-4.4982816E-02,-2.47266E-02,1.16289E+00,5.32227E-02,1.06488E+00
-4.4982128E-02,-1.49609E-02,1.35820E+00,4.54102E-02,1.03559E+00
